mmsi,Date,Time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver
419229014,2026-03-31,16:07:59,88.10364,21.58853,0.0,124.2,,SAGAR EXPRESS,,VT3432,37,5.0,14,2.0,6.4,,B
419851606,2026-03-31,00:40:56,80.15045,12.76229,7.7,255.3,58.0,OCEAN STAR GLORY,IMO5161369,VT6453,83,,12,32.0,7.6,90.0,A
419312432,2026-03-31,21:55:57,73.49521,15.60549,17.1,167.0,296.0,OCEAN STAR VOYAGER,IMO5271774,8T0581,74,5.0,10,3.0,,99.0,B
419867980,2026-03-31,16:22:27,69.06472,17.21497,0.0,344.7,,SAGAR EXPRESS,IMO7889255,ATG659,31,,200,14.0,,37.0,B
419251925,2026-03-31,11:17:42,85.17587,15.59544,0.0,111.4,,KAMAL II,IMO6850542,AT7332,52,2.0,14,,,,B
419296222,2026-03-31,22:44:45,79.1626,8.79932,0.0,349.0,229.0,OM PRINCE,,ATG746,36,,18,,2.7,71.0,A
419818141,2026-03-31,05:50:12,75.98841,10.19318,0.0,,13.0,CORAL II,,,37,,200,,2.7,99.0,A
419779010,2026-03-31,09:19:04,75.01414,12.68971,11.0,40.0,154.0,OCEAN STAR GLORY,,ATG980,36,,300,6.0,1.0,70.0,A
419851888,2026-03-31,18:28:55,86.62909,20.22332,0.0,91.3,34.0,RAJHANS VOYAGER,,AT2772,53,2.0,60,3.0,1.5,30.0,A
419868740,2026-03-31,23:33:10,73.9185,15.36418,0.0,,,CORAL VOYAGER,IMO7758416,,53,,18,34.0,2.3,37.0,B
419627570,2026-03-31,12:50:10,88.26158,21.54795,0.0,27.0,186.0,GANGA STAR,IMO7021355,8T0927,55,7.0,12,40.0,5.6,37.0,A
419027868,2026-03-31,04:17:15,74.71776,12.75617,0.0,,102.0,SHAKTI II,IMO5518844,VU5831,60,,22,30.0,7.9,,A
419911467,2026-03-31,19:08:23,80.35992,13.02755,0.0,231.2,348.0,JALDOOT QUEEN,IMO2680182,VU5358,31,,25,8.0,7.9,37.0,A
419829922,2026-03-31,23:59:01,88.0201,21.9216,0.0,297.0,,YAMUNA PRIDE,IMO0784473,ATG471,57,0.0,50,30.0,5.3,,A
419625881,2026-03-31,11:37:07,74.71976,12.67351,0.0,104.4,315.0,GODAVARI VOYAGER,,8T7747,83,0.0,40,32.0,,30.0,B
419974801,2026-03-31,15:41:22,73.66947,15.30868,0.0,144.2,99.0,SHAKTI TRADER,IMO9912165,AT8523,36,,100,3.0,2.7,57.0,A
419982595,2026-03-31,05:54:59,78.35556,8.8199,10.7,255.1,8.0,RAJHANS MARINER,IMO0974993,8T7289,52,8.0,250,9.0,12.9,30.0,A
419263689,2026-03-31,17:10:14,68.68684,17.70751,0.0,,244.0,NAVRATNA VOYAGER,IMO4973348,AT4375,37,,25,12.0,9.5,,A
419404157,2026-03-31,23:52:59,74.57124,12.88745,0.0,49.4,300.0,NEELAM EXPRESS,,ATG120,30,,18,20.0,12.0,71.0,A
419540193,2026-03-31,19:29:03,72.22984,11.18027,16.6,317.5,,VARUNA I,,VT5478,37,,16,32.0,3.4,,A
419205493,2026-03-31,06:23:22,88.07439,21.71098,0.0,31.2,,LAKSHMI TRADER,,AT5499,37,0.0,35,9.0,2.5,,A
419145933,2026-03-31,04:51:47,83.64107,17.66398,6.7,,,TARA MATA,,VT9108,52,,120,6.0,11.7,71.0,B
419718707,2026-03-31,04:48:14,82.89619,17.66544,0.0,260.3,,PSV SURYA,IMO0170462,ATG567,50,8.0,250,34.0,11.8,60.0,A
419300478,2026-03-31,15:26:31,83.04801,17.95869,0.0,,57.0,GANGA EXPRESS,,,52,0.0,250,3.0,1.6,60.0,A
419284395,2026-03-31,21:01:30,86.52447,20.42077,0.0,354.8,211.0,VISHAL PRIDE,IMO0568566,,30,8.0,120,30.0,,,A
419866882,2026-03-31,14:08:30,74.83802,12.722,0.0,33.3,97.0,SAGAR II,,8T3735,37,,8,,13.0,90.0,A
419936385,2026-03-31,10:18:21,78.06556,8.77019,4.7,,,GODAVARI PRIDE,,VU0489,37,,28,6.0,,36.0,A
419477725,2026-03-31,06:09:45,73.56043,15.47793,0.0,,,MONSOON STAR,IMO3120387,8T9770,52,0.0,50,2.0,,37.0,A
419211823,2026-03-31,06:59:16,88.03355,21.40193,0.0,134.3,289.0,TARA I,,8T7002,52,1.0,50,,,,A
419339740,2026-03-31,02:42:24,92.75164,11.33645,0.0,334.3,,PEARL II,,8T6856,55,,300,4.0,13.2,52.0,A
419599965,2026-03-31,01:04:43,88.11044,21.82684,4.1,155.4,338.0,RATNA II,,VU6551,57,1.0,28,25.0,4.4,33.0,B
419886101,2026-03-31,12:53:08,86.84911,20.36785,0.0,105.0,,RATNA MATA,,VU4447,40,2.0,50,10.0,7.1,,B
419993712,2026-03-31,11:05:32,73.25994,18.82483,0.0,158.4,,KAVERI DEVI,,AT4793,31,7.0,40,16.0,,60.0,B
419073741,2026-03-31,14:53:47,92.4634,11.16701,0.0,,37.0,NAVRATNA MATA,IMO6805891,,51,,35,7.0,,71.0,A
419610143,2026-03-31,18:35:35,72.75013,10.94639,0.0,,,OM III,,VT1254,32,7.0,20,32.0,7.0,80.0,A
419401051,2026-03-31,05:59:02,70.04798,17.72147,0.0,,,TRISHUL EXPLORER,,VU7966,52,,20,,11.1,,B
419255371,2026-03-31,09:33:07,93.2591,11.58738,5.6,220.0,178.0,KRISHNA II,IMO5134125,8T6692,37,,18,30.0,,33.0,B
419422579,2026-03-31,01:57:06,79.19077,9.27111,3.5,346.9,253.0,SHAKTI DEVI,,VU4043,37,,60,,,31.0,A
419858078,2026-03-31,07:57:24,86.49021,13.80725,0.0,314.8,134.0,AGNI EXPRESS,,AT9629,60,,20,3.0,,33.0,A
419494812,2026-03-31,14:59:08,71.10114,18.47746,0.0,89.9,,SAMRAT TRADER,IMO6711684,AT7759,52,,12,25.0,,90.0,A
419637454,2026-03-31,12:17:50,86.8967,20.04142,0.0,16.5,235.0,VIJAY,IMO6324241,AT1520,74,,300,9.0,2.1,36.0,A
419938700,2026-03-31,12:30:32,79.15339,9.29289,0.0,82.4,52.0,CORAL STAR,IMO2189092,VU2697,37,3.0,14,,8.4,52.0,A
419341389,2026-03-31,21:50:44,93.22954,11.3419,0.0,73.9,,TUG SHIVA,,8T1805,36,7.0,150,20.0,,90.0,B
419104300,2026-03-31,14:29:23,83.25084,17.80286,7.5,29.7,315.0,YAMUNA STAR,IMO6914630,ATG179,31,,250,7.0,,33.0,A
419884252,2026-03-31,09:47:07,93.17988,11.14167,6.0,97.9,,MEENA DEVI,IMO2524191,8T0003,37,0.0,40,6.0,13.0,,A
419353654,2026-03-31,02:50:08,86.77133,20.03358,0.0,,205.0,KRISHNA VOYAGER,,AT3494,37,,35,,,,A
419206038,2026-03-31,12:36:46,87.75768,21.75477,6.0,305.6,53.0,MEENA STAR,IMO1038657,VT9182,90,8.0,150,3.0,13.1,,A
419557431,2026-03-31,07:22:49,73.51538,15.61209,1.9,167.7,274.0,VIJAY TRADER,IMO1249035,,57,,40,32.0,,33.0,A
419788317,2026-03-31,03:42:37,78.90717,8.78388,0.0,,,RAJHANS TRADER,IMO1013721,AT1070,79,,50,18.0,5.8,50.0,A
419447209,2026-03-31,22:32:36,88.14911,21.71782,15.9,21.9,70.0,RATNA,IMO5787598,AT2059,52,3.0,25,,6.9,,A
419133480,2026-03-31,07:59:18,86.5719,20.63787,0.0,63.4,357.0,MALABAR STAR,IMO3784270,,51,,8,32.0,,90.0,A
419500292,2026-03-31,04:02:18,79.47634,9.2164,6.7,210.9,165.0,SHIVA VOYAGER,,8T5392,32,8.0,300,12.0,,70.0,B
419029593,2026-03-31,23:17:19,86.39845,20.60568,0.0,124.8,,BRAHMAPUTRA GLORY,,VT5410,31,0.0,50,,7.2,60.0,B
419932710,2026-03-31,10:44:14,72.37567,18.66335,6.2,57.9,47.0,GANGA PRIDE,IMO2962015,VU6884,90,5.0,14,3.0,7.9,30.0,A
419149731,2026-03-31,00:56:13,75.03623,12.98291,0.0,111.0,,CORAL QUEEN,,VU7047,36,,25,40.0,,,B
419693806,2026-03-31,19:01:35,80.59352,13.12841,0.0,171.4,17.0,OCEAN STAR STAR,,VU2332,70,0.0,250,20.0,11.3,70.0,A
419168685,2026-03-31,10:03:22,82.85989,18.03373,12.6,40.5,,VAYU III,IMO8564679,VT2462,57,,300,18.0,12.1,36.0,B
419450544,2026-03-31,10:12:25,79.31091,9.21494,0.0,,,SEA QUEEN II,,ATG785,37,0.0,18,4.0,7.3,99.0,B
419023303,2026-03-31,01:12:14,80.46371,13.43442,4.9,181.8,,SHAKTI QUEEN,IMO7985524,VT4060,36,,20,9.0,9.5,52.0,A
419722903,2026-03-31,09:11:21,88.32019,21.9544,0.0,152.5,178.0,KAMAL EXPLORER,IMO0858994,VT7154,36,,25,,12.2,33.0,A
419096520,2026-03-31,23:51:44,83.57553,17.53648,0.0,,97.0,OM PIONEER,IMO2824172,8T2513,52,7.0,28,,5.1,37.0,A
419709991,2026-03-31,17:11:34,71.10249,17.00143,0.0,,77.0,SAMRAT GLORY,,VU1752,35,,8,25.0,10.5,90.0,A
419296666,2026-03-31,17:22:53,77.96965,8.47264,0.0,,271.0,RATNA EXPRESS,IMO5421689,VT0447,52,,30,,13.4,57.0,A
419260332,2026-03-31,07:41:21,72.33519,10.97175,0.0,135.0,,TUG GANGA,,,51,,120,10.0,,71.0,A
419184992,2026-03-31,15:14:56,79.33126,8.76295,0.0,282.4,311.0,KAVERI PIONEER,IMO4208737,VT0119,36,,12,32.0,,71.0,A
419470120,2026-03-31,10:34:45,78.1056,8.85606,0.0,3.5,331.0,OCEAN STAR TRADER,IMO1552166,AT6762,37,1.0,10,7.0,12.4,,A
419965902,2026-03-31,17:35:18,69.73385,15.83881,0.0,235.7,347.0,NEELAM VOYAGER,IMO9163756,,53,,180,3.0,,,A
419175354,2026-03-31,01:49:59,83.15291,17.7404,0.0,,229.0,SHIVA,,8T8019,37,,100,34.0,,,A
419758997,2026-03-31,23:55:36,77.90846,8.72152,0.0,,149.0,ANAND DEVI,,ATG149,37,3.0,40,8.0,,,A
419917798,2026-03-31,04:54:07,86.20864,13.51301,10.0,301.9,,VISHAL STAR,,8T5866,71,,22,10.0,5.3,90.0,A
419984858,2026-03-31,23:01:53,74.87863,12.72583,0.0,353.2,91.0,AGNI PIONEER,IMO9968460,VT6200,52,3.0,18,12.0,2.8,90.0,B
419057198,2026-03-31,08:10:00,72.39008,10.94902,0.0,249.4,195.0,GODAVARI I,,8T7359,80,,20,8.0,,,B
419160648,2026-03-31,09:37:14,69.95502,23.08399,0.0,,305.0,KRISHNA DEVI,IMO8515832,8T2688,79,8.0,22,8.0,5.1,90.0,B
419801573,2026-03-31,23:23:02,88.51712,21.69691,0.0,,58.0,KAMAL PIONEER,IMO8770435,VT2880,40,1.0,200,,6.3,,A
419120750,2026-03-31,03:11:11,69.95191,22.67799,0.0,327.9,,OSV AGNI,IMO9190158,,37,,28,25.0,11.3,33.0,A
419684245,2026-03-31,00:24:21,86.38626,20.33855,0.1,,156.0,YAMUNA PRIDE,IMO8222394,VU9087,53,,250,4.0,,50.0,A
419149135,2026-03-31,17:41:22,80.14454,13.19307,0.0,,86.0,TRISHUL TRADER,IMO2577754,VT2914,36,,20,,,,A
419996930,2026-03-31,20:04:58,74.77381,13.13639,0.0,131.7,,DURGA II,,VU9282,36,,150,40.0,,,A
419373145,2026-03-31,08:31:13,73.33927,18.59813,6.5,,,KAMAL TRADER,IMO4989266,VT8463,37,,35,,12.1,33.0,A
419184322,2026-03-31,05:43:45,77.921,8.88038,0.0,259.2,245.0,MONSOON,,,51,,200,32.0,8.2,,B
419699041,2026-03-31,07:53:09,80.59384,13.49422,3.1,,,BRAHMAPUTRA GLORY,IMO1366210,8T6291,38,2.0,180,44.0,,31.0,A
419980686,2026-03-31,13:29:06,69.78687,17.59293,16.9,284.2,,SAMRAT III,,VU1498,71,8.0,8,2.0,2.5,71.0,A
419651269,2026-03-31,09:14:04,74.7888,12.92166,11.0,271.7,285.0,SAMUDRA MARINER,IMO6213721,ATG589,37,0.0,200,,11.3,70.0,A
419435190,2026-03-31,13:59:34,70.46853,16.70193,0.0,,327.0,KAMAL MARINER,,8T8392,30,0.0,200,,2.1,52.0,A
419693801,2026-03-31,03:16:58,86.69138,20.4583,0.0,346.7,,LAKSHMI TRADER,,8T1845,37,,25,,,52.0,A
419577907,2026-03-31,04:13:59,74.92319,12.8296,0.0,288.0,180.0,RATNA MARINER,,AT1827,30,7.0,150,10.0,,36.0,A
419334333,2026-03-31,09:05:28,79.36736,8.91362,0.0,243.2,314.0,OM PIONEER,IMO7947284,8T2086,65,,10,32.0,,,B
419750036,2026-03-31,21:09:13,70.56184,22.8616,0.0,85.3,313.0,MONSOON PIONEER,,ATG292,33,,14,,,36.0,A
419702672,2026-03-31,22:57:40,83.47827,17.87645,0.0,143.4,30.0,VAYU GLORY,IMO4558845,,36,1.0,250,44.0,,,A
419558771,2026-03-31,13:52:27,88.51528,21.571,0.0,151.8,,NEELAM VOYAGER,,AT9647,30,,100,25.0,3.3,80.0,A
419132611,2026-03-31,02:19:21,84.16148,14.91956,0.0,37.4,,RATNA MARINER,,,70,,8,3.0,11.8,57.0,B
419487282,2026-03-31,21:30:41,86.7451,20.39173,0.0,327.1,,SAMUDRA STAR,,,37,2.0,80,34.0,,57.0,A
419493085,2026-03-31,06:51:56,80.2158,13.14844,2.9,298.2,40.0,OCEAN STAR TRADER,,AT6312,36,2.0,200,25.0,,36.0,A
419080214,2026-03-31,09:48:03,69.7082,22.93842,0.0,177.6,,SAGAR VOYAGER,,VU0461,37,,20,,11.4,,A
419730371,2026-03-31,18:58:26,88.0613,21.36676,0.0,57.1,281.0,KAVERI PIONEER,IMO3136502,8T1630,36,0.0,300,30.0,,36.0,A
419950052,2026-03-31,19:31:40,72.38614,10.60066,0.0,289.9,98.0,SAMUDRA I,IMO7848739,AT5749,37,,100,6.0,,57.0,B
419620959,2026-03-31,08:41:38,76.4803,9.68801,0.0,188.6,282.0,GODAVARI III,,VT2203,36,1.0,14,3.0,,60.0,B
419405391,2026-03-31,00:28:35,69.97422,16.12621,0.0,168.5,,KONKAN I,IMO4801413,VT1386,79,3.0,250,9.0,,60.0,A
419957612,2026-03-31,06:34:04,86.76027,20.30328,9.6,,,TRISHUL VOYAGER,IMO9836845,ATG600,37,5.0,100,,4.8,36.0,A
419048889,2026-03-31,20:48:42,73.66339,15.17264,0.0,320.2,,YAMUNA II,IMO7279194,,31,,10,14.0,11.2,99.0,A
419906048,2026-03-31,01:29:57,76.0961,9.98895,0.0,18.2,,TARA EXPRESS,,VU2517,55,,120,18.0,6.0,80.0,A
419783769,2026-03-31,07:08:23,86.66697,20.64796,0.0,279.6,294.0,MALABAR PRINCE,,VT4259,52,,60,,,,A
419103924,2026-03-31,00:30:00,78.03307,8.93257,0.0,75.2,104.0,OCEAN STAR STAR,IMO0698042,,55,,180,10.0,9.2,,A
419104636,2026-03-31,18:30:55,84.94637,13.79881,0.0,67.1,,OSV KRISHNA,,VU0555,52,5.0,100,,,,B
419432562,2026-03-31,03:11:47,92.91359,11.62486,0.0,150.2,,NAVRATNA STAR,,,71,,20,6.0,,33.0,A
419925188,2026-03-31,04:18:37,73.53731,15.65371,0.0,316.8,210.0,MATSYA STAR,IMO1220994,8T3933,55,0.0,300,30.0,11.6,71.0,A
419772233,2026-03-31,01:10:24,80.64035,13.47505,0.0,,104.0,OCEAN STAR DEVI,IMO7366096,ATG999,74,,300,3.0,,,A
419886086,2026-03-31,18:47:29,72.35188,11.27007,0.0,278.4,85.0,OSV PRIYA,IMO7181298,,51,8.0,8,7.0,,57.0,A
419211175,2026-03-31,03:06:21,83.48285,17.60727,0.0,136.3,,PRIYA QUEEN,IMO2064474,VT2309,40,5.0,80,30.0,,36.0,B
419767199,2026-03-31,00:14:21,74.82186,12.9284,0.0,17.6,334.0,OSV SEA QUEEN,,VT1622,32,,300,44.0,,80.0,A
419145561,2026-03-31,15:33:30,79.18249,8.73896,0.0,118.5,,KAMAL II,IMO9469548,8T5299,51,,200,30.0,,80.0,A
419010713,2026-03-31,22:24:09,85.00138,14.74212,0.0,4.1,144.0,JALDOOT VOYAGER,IMO1556990,VU5577,30,,80,6.0,,50.0,A
419084958,2026-03-31,19:30:39,72.64806,19.04288,0.0,23.8,15.0,ANAND EXPLORER,,,37,,30,3.0,,50.0,A
419384215,2026-03-31,01:21:41,72.55502,11.23068,0.4,325.7,,GODAVARI STAR,IMO1823076,8T1040,53,,30,,,80.0,B
419435334,2026-03-31,10:04:21,83.3869,17.91823,0.0,98.5,,JALDOOT VOYAGER,,AT9321,31,,30,34.0,2.6,71.0,A
419016629,2026-03-31,21:34:53,88.10667,21.7521,0.0,294.2,,VIJAY STAR,,ATG174,31,,22,,,52.0,A
419577017,2026-03-31,04:06:36,77.95248,8.72675,0.0,182.8,54.0,NAVRATNA GLORY,,8T3827,52,8.0,20,40.0,,50.0,A
419219719,2026-03-31,21:42:08,80.55762,13.14407,3.2,25.1,,MEENA II,,,37,,200,,9.3,37.0,B
419733549,2026-03-31,11:05:17,70.65337,18.31003,0.0,209.7,261.0,KONKAN I,,AT1403,31,,40,48.0,5.8,60.0,A
419723865,2026-03-31,15:11:27,73.85204,15.74847,0.0,233.4,,INDRA PRIDE,IMO9692786,ATG653,89,2.0,8,40.0,,37.0,B
419950097,2026-03-31,13:25:10,70.3905,22.98153,0.0,167.3,312.0,SURYA MARINER,IMO5807787,AT6544,37,2.0,180,,8.0,57.0,B
419049047,2026-03-31,03:00:14,70.48376,22.57686,0.0,99.1,,SHAKTI PIONEER,IMO4372805,VU9276,71,8.0,60,48.0,,30.0,A
419027674,2026-03-31,17:20:25,72.62602,11.10194,6.8,170.8,222.0,GODAVARI MATA,IMO0185694,AT1496,74,,22,,,33.0,A
419010618,2026-03-31,03:46:59,92.9703,11.42182,0.0,8.5,,AGNI III,,ATG921,60,2.0,60,4.0,12.5,,A
419421406,2026-03-31,14:08:53,76.47336,9.68604,4.8,,,PRIYA PRIDE,,ATG410,33,1.0,25,25.0,,,A
419425690,2026-03-31,18:45:52,92.67377,11.92519,0.0,194.4,,MALABAR VOYAGER,IMO6015851,AT3280,37,,28,,8.9,,B
419320309,2026-03-31,08:40:58,83.28244,17.35039,5.5,347.9,173.0,TUG YAMUNA,IMO8782931,,57,2.0,8,,8.7,71.0,A
419041792,2026-03-31,21:31:09,72.38702,19.33096,0.0,22.7,,GODAVARI III,IMO9825309,VT1426,90,,120,7.0,12.6,,B
419620710,2026-03-31,00:15:46,73.84105,15.20348,16.0,,,KAMAL GLORY,,8T0927,36,,200,12.0,1.1,,A
419958837,2026-03-31,22:48:31,87.90498,21.42114,14.3,179.1,22.0,SAMUDRA VOYAGER,IMO7010822,ATG811,37,,150,40.0,,50.0,A
419531363,2026-03-31,13:40:21,70.25528,15.72059,1.0,,232.0,KAVERI PIONEER,IMO3520904,,37,,18,14.0,4.7,90.0,B
419298316,2026-03-31,18:59:49,83.32326,18.09653,0.0,5.2,126.0,RAJHANS STAR,IMO0600780,ATG717,37,,120,2.0,6.1,50.0,A
419074279,2026-03-31,21:15:01,73.1762,18.89581,15.7,,320.0,SURYA EXPLORER,IMO5804649,VU1950,52,,250,,2.4,70.0,A
419281832,2026-03-31,12:11:39,74.7371,12.66813,0.0,,164.0,MATSYA I,,ATG881,36,,250,,6.6,,A
419371162,2026-03-31,10:29:57,84.4943,13.73084,0.0,,,NAVRATNA STAR,IMO6704310,VU8569,30,,30,30.0,,57.0,B
419242437,2026-03-31,13:32:25,84.14196,15.80925,6.4,344.1,,PRIYA QUEEN,,,36,7.0,60,10.0,,71.0,A
419257828,2026-03-31,10:58:46,70.63107,22.52493,13.8,333.9,,OM MARINER,IMO9297517,VU8140,37,,22,25.0,,36.0,A
419430187,2026-03-31,03:10:52,85.4714,14.68327,0.0,327.0,,LAKSHMI MARINER,,ATG813,37,,50,25.0,,,A
419299123,2026-03-31,11:02:25,83.63931,17.99402,1.2,31.8,139.0,INDRA PRINCE,,8T7049,40,5.0,60,9.0,1.0,,B
419146273,2026-03-31,01:02:08,70.69433,22.77722,0.0,209.1,,AGNI PIONEER,IMO9042902,VU5204,37,7.0,35,3.0,,60.0,A
419192855,2026-03-31,10:57:42,76.11751,10.06878,0.0,296.3,265.0,ANAND III,,VU8988,57,,14,20.0,,30.0,A
419527985,2026-03-31,06:16:11,93.07749,11.03451,0.0,247.6,107.0,AGNI II,,ATG031,31,,100,40.0,2.5,31.0,A
419119393,2026-03-31,06:43:39,92.27467,11.03511,0.0,341.5,,DURGA II,,VT8334,57,,120,,2.2,,B
419592712,2026-03-31,12:55:07,85.54275,14.77228,0.0,44.5,69.0,SAGAR II,,,37,5.0,28,25.0,,52.0,A
419752071,2026-03-31,14:25:52,79.968,13.22684,2.6,,86.0,SEA QUEEN EXPLORER,,ATG499,89,,200,18.0,,57.0,A
419711477,2026-03-31,08:24:14,87.82968,21.30769,0.0,179.3,91.0,OCEAN STAR III,IMO8773477,8T5880,52,,14,18.0,11.7,30.0,B
419427624,2026-03-31,14:09:57,83.39002,17.38751,11.9,,259.0,CORAL PIONEER,IMO4500902,AT9056,36,1.0,35,20.0,9.3,71.0,A
419141520,2026-03-31,19:36:11,76.41802,9.92655,10.2,96.0,301.0,GODAVARI III,IMO1357852,AT6371,37,,25,3.0,,,A
419919541,2026-03-31,20:37:22,79.02584,8.98516,0.0,181.6,339.0,OCEAN STAR MATA,IMO8208297,ATG489,35,,200,3.0,5.6,,A
419665136,2026-03-31,09:43:07,79.05387,9.08763,10.8,85.8,14.0,JALDOOT PRIDE,,VU2420,60,,25,34.0,,,A
419159416,2026-03-31,13:13:56,92.57627,12.06286,0.0,85.0,,KAMAL TRADER,IMO1391559,VU6321,38,2.0,25,25.0,11.8,60.0,A
419586734,2026-03-31,05:16:33,78.34282,8.8794,0.0,302.8,,JALDOOT EXPLORER,,AT1837,57,8.0,40,10.0,,37.0,A
419756041,2026-03-31,17:54:07,83.52293,17.63037,0.0,296.7,259.0,JALDOOT VOYAGER,IMO0027206,AT5911,37,2.0,300,,,,B
419724295,2026-03-31,10:15:35,73.55913,15.3987,0.0,7.5,,VIJAY PRINCE,,VT6969,51,5.0,35,,,,B
419713334,2026-03-31,10:29:03,72.54505,10.80566,0.0,358.2,346.0,GANGA MARINER,IMO3973597,,33,,30,18.0,,80.0,A
419180053,2026-03-31,17:08:46,71.31797,18.49022,0.0,1.9,195.0,JALDOOT I,IMO4287572,,37,,25,5.0,13.2,99.0,A
419644948,2026-03-31,11:23:46,80.4895,12.83199,0.0,,,NEELAM QUEEN,,ATG617,30,0.0,300,34.0,,99.0,A
